학년,CHAT GPT 사용 빈도수,CHAT GPT를 사용하여 과제를 한 적이 있나요?,CHAT GPT를 사용하여 불이익을 받은 적이 있나요?,CHAT GPT를 언제 가장 많이 사용하시나요? ,"CHAP GPT에 대한 신뢰도는 어느정도 되나요? (1: 안믿음, 5: 전적으로 믿음)","CHAP GPT의 창의성에 대해 어떻게 생각하시나요? ( 1: 바보, 5: 아이디어 뱅크)",
11학년,1주일에 5번 이상,예,아니오,과제,3,1,
11학년,1주일에 3번 이하,예,아니오,아이디어 필요,3,2,
7학년,사용 잘 안함,아니오,아니오,안씁니다,3,3,
10학년,하루에 3번 이상,예,아니오,과제,3,2,
7학년,사용 잘 안함,아니오,아니오,안씁니다,3,3,
7학년,사용 잘 안함,아니오,아니오,아이디어 필요,4,4,
9학년,하루에 3번 이상,아니오,아니오,"과학, 수학 문제 풀이를 원할 때",4,4,
7학년,사용 잘 안함,아니오,아니오,저녁 메뉴 선정,2,3,
8학년,사용 잘 안함,아니오,아니오,사용하지 않는다,4,2,
9학년,사용 잘 안함,예,예,아이디어 필요,2,2,
10학년,1주일에 5번 이상,예,예,과제,3,2,
10학년,사용 잘 안함,아니오,아니오,저녁 메뉴 선정,3,3,ㅋ
11학년,사용 잘 안함,아니오,아니오,아이디어 필요,3,3,
8학년,사용 잘 안함,예,아니오,아이디어 필요,3,4,
7학년,사용 잘 안함,아니오,아니오,CHAT GPT 를 쓴적이 없음,3,5,
11학년,1주일에 5번 이상,예,아니오,아이디어 필요,3,1,
9학년,1주일에 3번 이하,아니오,아니오,아이디어 필요,2,3,
7학년,사용 잘 안함,아니오,아니오,아이디어 필요,4,4,
7학년,사용 잘 안함,아니오,아니오,친구랑 할게 없을때,4,4,
11학년,1주일에 3번 이하,예,아니오,과제,3,4,
20대,1주일에 3번 이하,예,아니오,과제,3,2,
9학년,사용 잘 안함,아니오,아니오,아이디어 필요,4,4,
7학년,사용 잘 안함,예,아니오,저녁 메뉴 선정,3,4,
8학년,사용 잘 안함,아니오,아니오,"과학, 수학 문제 풀이를 원할 때",4,4,
9학년,하루에 3번 이상,예,아니오,아이디어 필요,4,1,
11학년,1주일에 5번 이상,예,아니오,과제,4,1,
8학년,사용 잘 안함,아니오,아니오,아이디어 필요,3,5,
9학년,하루에 3번 이상,예,예,과제,4,3,
11학년,하루에 1번,예,아니오,대회 준비,4,3,
7학년,사용 잘 안함,아니오,아니오,아이디어 필요,3,5,
11학년,하루에 1번,예,아니오,아이디어 필요,3,2,
40대 이상,사용 잘 안함,아니오,아니오,잘 사용하지 않으므로 잘 모르겠음,3,5,
11학년,1주일에 3번 이하,예,아니오,과제,3,2,
11학년,1주일에 3번 이하,예,아니오,과제,3,3,
11학년,1주일에 3번 이하,예,아니오,아이디어 필요,3,4,
11학년,1주일에 5번 이상,예,아니오,과제,4,2,
11학년,1주일에 5번 이상,예,아니오,정보과학,4,3,
40대 이상,사용 잘 안함,아니오,아니오,안 써요,3,2,
11학년,1주일에 3번 이하,예,아니오,아이디어 필요,3,4,
8학년,사용 잘 안함,아니오,아니오,심심할때,2,3,
9학년,하루에 1번,예,아니오,아이디어 필요,3,3,
7학년,사용 잘 안함,아니오,아니오,재미로 가끔 들러요,1,1,
11학년,하루에 3번 이상,예,예,과제,4,3,
11학년,1주일에 5번 이상,예,예,과제,4,5,
7학년,사용 잘 안함,아니오,아니오,사용한적 없음,2,3,
10학년,하루에 1번,예,예,코딩,3,2,
20대,1주일에 3번 이하,예,아니오,과제,2,2,
10학년,하루에 3번 이상,예,예,과제,3,3,
9학년,1주일에 3번 이하,예,아니오,아이디어 필요,4,4,
7학년,1주일에 3번 이하,예,아니오,과제,5,4,
12학년,하루에 1번,예,아니오,코딩,2,3,
12학년,하루에 1번,예,예,코딩,3,2,
7학년,사용 잘 안함,예,아니오,과제,3,3,
11학년,사용 잘 안함,예,아니오,과제,3,4,
8학년,하루에 1번,예,아니오,과제,4,4,
11학년,1주일에 5번 이상,예,아니오,과제,3,1,
11학년,하루에 1번,예,아니오,과제,3,1,
11학년,1주일에 5번 이상,예,아니오,과제,4,5,
11학년,1주일에 5번 이상,예,아니오,과제,4,4,
11학년,하루에 3번 이상,예,아니오,과제,2,1,
11학년,하루에 3번 이상,예,예,과제,3,2,
11학년,1주일에 3번 이하,예,아니오,과제,4,4,
11학년,1주일에 5번 이상,예,아니오,논문 작성,5,3,
8학년,사용 잘 안함,예,예,저녁 메뉴 선정,1,1,
7학년,하루에 1번,예,아니오,과제,4,4,
12학년,하루에 1번,예,예,과제,4,2,
8학년,1주일에 3번 이하,아니오,예,자료 조사(MUN 등),2,4,
20대,하루에 1번,예,아니오,과제,2,2,
7학년,사용 잘 안함,아니오,아니오,"과학, 수학 문제 풀이를 원할 때",3,4,
11학년,하루에 1번,예,아니오,과제,3,2,
11학년,하루에 3번 이상,예,아니오,대회 준비,5,5,
9학년,하루에 3번 이상,예,아니오,아이디어 필요,4,5,
11학년,하루에 1번,예,아니오,과제,4,1,
7학년,사용 잘 안함,아니오,아니오,친구랑 할거없을때,4,4,
9학년,사용 잘 안함,예,아니오,과제,3,3,
40대 이상,1주일에 5번 이상,예,아니오,논문 작성,4,3,
9학년,1주일에 5번 이상,예,아니오,과제,2,2,
7학년,1주일에 3번 이하,예,예,과제,3,3,
10학년,1주일에 3번 이하,예,아니오,과제,3,3,
8학년,1주일에 3번 이하,예,아니오,과제,2,4,
7학년,1주일에 3번 이하,예,아니오,과제,4,4,
9학년,하루에 3번 이상,아니오,아니오,아이디어 필요,4,5,
8학년,1주일에 3번 이하,예,예,과제,3,4,
7학년,1주일에 5번 이상,예,아니오,과제,3,4,
11학년,1주일에 5번 이상,예,아니오,코딩,3,2,
12학년,1주일에 5번 이상,예,아니오,코딩,3,2,
7학년,1주일에 3번 이하,예,아니오,아이디어 필요,4,4,
8학년,1주일에 3번 이하,예,예,아이디어 필요,4,2,
10학년,1주일에 3번 이하,예,예,코딩,3,2,
9학년,1주일에 3번 이하,예,아니오,아이디어 필요,4,3,
7학년,사용 잘 안함,예,아니오,아이디어 필요,3,2,
7학년,하루에 1번,예,아니오,궁금한 사실을 물어보기,4,2,
12학년,하루에 3번 이상,예,아니오,과제,3,4,
11학년,1주일에 3번 이하,예,아니오,아이디어 필요,2,5,
11학년,하루에 1번,예,아니오,"과제, 대회 준비, 아이디어 필요",2,3,
9학년,하루에 1번,예,아니오,"과제, 대회 준비, 코딩",3,4,
11학년,사용 잘 안함,예,예,"과제, 대회 준비, 아이디어 필요, 업무",4,2,
40대 이상,사용 잘 안함,아니오,아니오,업무,2,3,
10학년,일주일 5번 이상,예,아니오,"과제, 대회 준비, 아이디어 필요",3,4,
40대 이상,사용 잘 안함,아니오,아니오,과제,3,2,
10학년,일주일 5번 이상,예,아니오,"과제, 코딩",3,3,
40대 이상,일주일에 3번 이하,예,예,코딩,4,4,
40대 이상,일주일에 3번 이하,예,아니오,"아이디어 필요, 업무",4,4,
