타임스탬프,상품 원하는 사람만 카톡 아이디 남겨주세요!!,학년,평소 아침 몇 시에 집에서 출발하나요?,평소 학교에 도착하는 시간은 몇 시인가요? ,평소 지각하게 되는 주요 원인은 무엇인가요? (복수 선택 가능),0,2,9
7:30~7:40,7:50~8:00,10분 이내,오토바이,한 달에 1~2번,날씨 문제( 비),,,
7:40~7:50,7:50~8:00,10분 이내,개인 차,거의 없음,지각을 잘 안함,,,
7:20~7:30,7:30~7:40,10분 이내,개인 차,거의 없음,지각을 잘 안함,,,
7:30~7:40,7:40~7:50,10분 이내,택시,한 달에 1~2번,"교통 문제( 차 막힘), 날씨 문제( 비), 늦잠",,,
6:30~7:00,7:00~7:10,10~20분,택시,거의 없음,"교통 문제( 차 막힘), 택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",,,
7:10~7:20,7:30~7:40,10~20분,택시,거의 없음,지각을 잘 안함,,,
7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,,,
7:00~7:10,7:20~7:30,10~20분,오토바이,거의 없음,지각을 잘 안함,,,
7:30~7:40,7:50~8:00,10~20분,오토바이,한 달에 1~2번,교통 문제( 차 막힘),,,
7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,,,
7:20~7:30,7:40~7:50,10~20분,버스,거의 없음,택시 호출 지연( 날씨 영향 없는),,,
7:20~7:30,7:50~8:00,10~20분,오토바이,한 달에 1~2번,"교통 문제( 차 막힘), 늦잠",,,
7:40~7:50,7:50~8:00,10분 이내,택시,거의 없음,늦잠,,,
7:20~7:30,8:00~,10~20분,택시,한 달에 1~2번,교통 문제( 차 막힘),,,
6:30~7:00,7:30~7:40,20~30분,버스,거의 없음,늦잠,,,
7:30~7:40,8:00~,10~20분,택시,거의 없음,"교통 문제( 차 막힘), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",,,
7:40~7:50,7:50~8:00,10분 이내,오토바이,거의 없음,"늦잠, 지각을 잘 안함",,,
7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,,,
7:10~7:20,7:30~7:40,10분 이내,버스,거의 없음,지각을 잘 안함,,,
7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,날씨 문제( 비),,,
7:30~7:40,7:50~8:00,10~20분,택시,한 달에 1~2번,"교통 문제( 차 막힘), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",,,
7:00~7:10,7:50~8:00,30분 이상,개인 차,거의 없음,교통 문제( 차 막힘),,,
7:10~7:20,7:30~7:40,10~20분,버스,한 달에 1~2번,늦잠,,,
7:30~7:40,7:40~7:50,10분 이내,걸어서,거의 없음,지각을 잘 안함,,,
7:20~7:30,7:40~7:50,10분 이내,오토바이,거의 없음,지각을 잘 안함,,,
7:40~7:50,7:50~8:00,10분 이내,걸어서,거의 없음,지각을 잘 안함,,,
7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,,,
7:30~7:40,7:50~8:00,10분 이내,택시,거의 없음,지각을 잘 안함,,,
7:30~7:40,7:50~8:00,10분 이내,개인 차,한 달에 1~2번,늦잠,,,
7:20~7:30,7:40~7:50,10~20분,택시,거의 없음,"택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",,,
6:30~7:00,7:00~7:10,10분 이내,오토바이,거의 없음,택시 호출 지연( 날씨 영향 없는),,,
6:30~7:00,7:40~7:50,30분 이상,개인 차,거의 없음,교통 문제( 차 막힘),,,
7:10~7:20,7:30~7:40,10~20분,개인 차,한 달에 1~2번,"교통 문제( 차 막힘), 늦잠",,,
